tmin	tier	text	tmax
119.596201	BLPH	1	119.755098
120.582142	BHGR	1	120.873225
120.818064	BLPH	1	120.987919
121.077494	BHGR	1	121.429858
121.786889	BHGR	1	122.374162
122.644819	BHGR	1	122.941009
123.926607	BHGR	1	124.263651
124.056273	BLPH	1	124.248045
124.713042	BHGR	1	125.131794
126.015257	BHGR	1	126.684238
126.352310	BLPH	1	126.511207
126.949788	BHGR	1	127.812824
128.057947	BHGR	1	128.353697
128.726488	BHGR	1	128.884796
129.037120	BLPH	1	129.217933
129.175880	BHGR	1	129.298441
131.234530	BLPH	1	131.415344
131.724136	BHGR	1	132.495251
132.725054	BHGR	1	133.526809
133.720865	BHGR	1	133.971095
134.215777	BHGR	1	134.481327
134.716236	BHGR	1	135.165628
135.354577	BHGR	1	135.446498
135.900996	BHGR	1	136.008238
136.365708	BHGR	1	136.855954
136.686339	BLPH	1	136.878111
137.034689	BHGR	1	137.279812
137.540255	BHGR	1	137.775164
138.183702	BHGR	1	138.387971
138.597347	BHGR	1	139.833175
140.088071	BHGR	1	140.302553
140.634490	BHGR	1	141.221764
142.304389	BHGR	1	142.626113
142.825275	BHGR	1	143.203173
143.494256	BHGR	1	143.744486
144.071316	BHGR	1	144.352186
144.750511	BHGR	1	144.867965
145.199902	BHGR	1	145.761642
145.300147	BLPH	1	145.453565
146.057392	BHGR	1	146.215700
146.516997	BHGR	1	146.991923
147.415781	BHGR	1	147.783465
147.716476	BLPH	1	147.880852
147.919207	SPTO2	1	148.472606
149.459107	OCWA	1	150.483719
150.015104	BHGR	1	150.852607
151.266251	BHGR	1	151.312212
151.415183	BLPH	1	151.601476
151.669683	BHGR	1	151.894379
152.164595	BHGR	1	152.716121
153.557552	BLPH	1	153.732887
153.691506	BHGR	1	154.498368
155.261834	SPTO2	1	155.924818
156.576805	BHGR	1	156.719793
157.054226	OCWA	1	158.570933
157.179399	BHGR	1	157.358134
157.766672	BHGR	1	158.042435
158.322859	BHGR	1	158.445421
158.823318	BHGR	1	158.971413
159.323777	BHGR	1	159.553580
159.787657	SPTO2	1	160.412286
159.793596	BHGR	1	160.503431
161.870005	SPTO2	1	162.428883
164.861650	SPTO2	1	165.552030
165.114363	BHGR	1	166.151028
167.141733	BHGR	1	168.249892
169.727433	SPTO2	1	170.478084
171.365715	OCWA	1	172.461556
172.385894	BHGR	1	173.274464
173.432772	BHGR	1	173.504267
174.173248	BHGR	1	174.862655
174.417882	SPTO2	1	175.234283
175.123098	BHGR	1	175.735905
176.011228	BHGR	1	176.225711
176.552541	BHGR	1	176.639356
177.007040	BHGR	1	177.267483
177.635167	BHGR	1	177.895610
178.115199	BHGR	1	178.293934
178.641192	BHGR	1	179.136544
